company,patents_2010_2019,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
TT ELECTRONICS,16,2,1,0,2,0,1,1,3,6,7
PFEIFFER VACUUM TECHNOLOGY,278,18,15,15,11,25,49,57,30,28,58
GENFIT,37,5,9,9,10,7,6,5,12,18,21
RATOS,0,0,0,0,0,0,0,0,0,0,0
OXFORD BIOMEDICA,28,15,13,5,5,3,6,5,6,1,6
GRIFOLS,117,20,22,27,34,37,42,42,45,36,36
DECHRA PHARMACEUTICALS,0,0,0,0,0,0,0,0,0,0,0
AZKOYEN,25,9,5,7,8,3,2,2,2,1,1
STATPRO,0,0,0,0,0,0,0,0,0,0,0
BWT,61,1,2,5,11,8,11,12,8,20,19
SYSTEMAIR,12,1,0,0,0,2,1,2,6,3,4
AAREAL BANK,0,0,0,0,0,0,0,0,0,0,0
OCADO,74,0,0,0,1,5,13,26,37,43,49
GENERIX,0,0,0,0,0,0,0,0,0,0,0
ATOSS SOFTWARE,0,0,0,0,0,0,0,0,0,0,0
VICTREX,38,7,5,5,4,4,9,14,13,11,10
ROTORK,14,1,1,1,5,2,3,5,5,4,5
INDUTRADE,0,0,0,0,0,0,0,0,0,0,0
KINGSPAN,94,22,28,18,26,24,20,8,8,6,12
